iter	RMSE
0	0.01172951484
1	0.01172942585
2	0.01172933681
3	0.01172919839
4	0.01172907124
5	0.01172901993
6	0.01172892637
7	0.01172881948
8	0.01172872824
9	0.01172861997
10	0.01172847214
11	0.01172831953
12	0.01172817086
13	0.01172804712
14	0.01172799539
15	0.011727893
16	0.01172773111
17	0.01172765475
18	0.01172751448
19	0.01172741887
20	0.01172729025
21	0.01172715026
22	0.01172703873
23	0.0117268948
24	0.01172679817
25	0.01172671569
26	0.01172663778
27	0.01172657206
28	0.01172642616
29	0.01172631796
30	0.01172621267
31	0.01172614044
32	0.01172600984
33	0.01172594485
34	0.01172588432
35	0.01172583421
36	0.01172569073
37	0.01172557115
38	0.0117255093
39	0.01172545458
40	0.01172538603
41	0.01172534232
42	0.01172526995
43	0.01172518515
44	0.01172508246
45	0.01172499987
46	0.01172493038
47	0.01172483413
48	0.01172475037
49	0.01172465249
50	0.01172461078
51	0.01172452387
52	0.01172440885
53	0.01172434018
54	0.01172427629
55	0.01172422746
56	0.01172418293
57	0.01172411143
58	0.0117240484
59	0.01172400088
60	0.01172391382
61	0.01172385049
62	0.01172378911
63	0.01172372665
64	0.01172365752
65	0.01172360241
66	0.01172352378
67	0.0117234782
68	0.01172339041
69	0.01172325488
70	0.01172304354
71	0.01172298899
72	0.0117229084
73	0.01172288227
74	0.01172276026
75	0.01172270303
76	0.01172265735
77	0.0117226146
78	0.01172254813
79	0.01172252077
80	0.01172245554
81	0.01172240138
82	0.01172229927
83	0.01172222097
84	0.0117221546
85	0.01172209737
86	0.01172201259
87	0.01172196767
88	0.01172192817
89	0.01172188702
90	0.01172181389
91	0.01172178688
92	0.01172171125
93	0.01172159873
94	0.01172146586
95	0.01172139587
96	0.01172136685
97	0.01172128668
98	0.01172125587
99	0.01172118653
100	0.01172106823
101	0.0117210239
102	0.01172095328
103	0.01172091351
104	0.01172086979
105	0.01172079851
106	0.01172069482
107	0.01172065551
108	0.01172059964
109	0.0117205542
110	0.01172050353
111	0.01172043424
112	0.01172034896
113	0.01172028516
114	0.01172020994
115	0.01172017574
116	0.01172011439
117	0.01172006645
118	0.0117200169
119	0.01171997834
120	0.01171990856
121	0.01171986135
122	0.01171976553
123	0.01171972042
124	0.01171967727
125	0.0117196043
126	0.01171955153
127	0.01171948697
128	0.01171939593
129	0.01171932666
130	0.01171926499
131	0.01171914159
132	0.01171907099
133	0.01171895439
134	0.01171889358
135	0.01171883702
136	0.01171879408
137	0.01171874176
138	0.01171864634
139	0.01171855946
140	0.01171851977
141	0.01171840237
142	0.01171836129
143	0.01171828034
144	0.01171821171
145	0.01171815428
146	0.01171808208
147	0.01171805904
148	0.01171797689
149	0.01171794227
150	0.01171788387
151	0.01171779233
152	0.0117177198
153	0.01171767083
154	0.01171760955
155	0.01171754332
156	0.01171747361
157	0.01171740473
158	0.01171725999
159	0.01171719292
160	0.01171715761
161	0.01171713057
162	0.01171710304
163	0.01171705464
164	0.01171697017
165	0.01171685969
166	0.01171682931
167	0.01171676889
168	0.01171656335
169	0.01171652834
170	0.01171649452
171	0.01171645833
172	0.01171639216
173	0.01171630361
174	0.01171624128
175	0.01171613215
176	0.01171605535
177	0.01171596058
178	0.01171589398
179	0.01171583377
180	0.01171579876
181	0.01171578306
182	0.0117157583
183	0.01171565565
184	0.01171561706
185	0.01171553878
186	0.01171544037
187	0.01171540449
188	0.01171536512
189	0.01171529035
190	0.01171524804
191	0.01171522149
192	0.01171518284
193	0.01171511127
194	0.01171502783
195	0.01171491751
196	0.01171486716
197	0.01171476932
198	0.01171471441
199	0.01171463683
200	0.01171453802
201	0.01171452101
202	0.0117143605
203	0.01171430992
204	0.01171422743
205	0.01171417318
206	0.01171408947
207	0.01171402464
208	0.01171400098
209	0.0117138711
210	0.01171381814
211	0.01171376899
212	0.01171370894
213	0.0117136707
214	0.01171362965
215	0.01171355715
216	0.01171352345
217	0.01171345893
218	0.01171337665
219	0.01171332192
220	0.01171320304
221	0.01171316942
222	0.01171307531
223	0.01171301628
224	0.01171293733
225	0.01171283454
226	0.0117127825
227	0.01171274445
228	0.01171267448
229	0.01171261388
230	0.01171252172
231	0.01171247184
232	0.01171244508
233	0.01171233075
234	0.01171219551
235	0.01171214345
236	0.01171207661
237	0.01171201904
238	0.01171196802
239	0.01171187746
240	0.0117117494
241	0.01171170467
242	0.01171168818
243	0.01171159733
244	0.01171151597
245	0.01171142653
246	0.0117113938
247	0.01171133167
248	0.01171129694
249	0.01171117364
250	0.01171110339
251	0.01171102926
252	0.01171097025
253	0.0117109389
254	0.0117109032
255	0.01171085868
256	0.01171078953
257	0.01171076612
258	0.01171069665
259	0.01171064261
260	0.0117105613
261	0.01171041551
262	0.01171039797
263	0.01171028468
264	0.01171022191
265	0.01171015454
266	0.01171012097
267	0.01171003555
268	0.01171000013
269	0.01170995755
270	0.01170991837
271	0.01170986334
272	0.0117098349
273	0.01170977979
274	0.01170972489
275	0.01170969106
276	0.01170960576
277	0.0117095797
278	0.01170954963
279	0.01170947289
280	0.01170944087
281	0.01170938895
282	0.01170928541
283	0.01170921571
284	0.01170913546
285	0.01170905489
286	0.01170899938
287	0.01170895664
288	0.0117089126
289	0.01170878599
290	0.01170872559
291	0.01170869896
292	0.01170864945
293	0.01170856003
294	0.01170847642
295	0.01170836574
296	0.011708317
297	0.01170823326
298	0.01170820241
299	0.01170812101
