dt,close
2010-01-04,31.52
2010-01-05,31.47
2010-01-06,31.8
2010-01-07,33.01
2010-01-08,32.69
2010-01-11,32.92
2010-01-12,32.07
2010-01-13,32.53
2010-01-14,33.31
2010-01-15,33.75
2010-01-19,35.12
2010-01-20,34.57
2010-01-21,33.05
2010-01-22,33.16
2010-01-25,33.0
2010-01-26,32.45
2010-01-27,33.24
2010-01-28,33.44
2010-01-29,33.0
2010-02-01,33.11
2010-02-02,34.04
2010-02-03,33.3
2010-02-04,32.47
2010-02-05,32.54
2010-02-08,32.42
2010-02-09,32.99
2010-02-10,32.71
2010-02-11,33.14
2010-02-12,32.2
2010-02-16,31.65
2010-02-17,32.56
2010-02-18,32.66
2010-02-19,31.91
2010-02-22,33.09
2010-02-23,32.79
2010-02-24,33.639
2010-02-25,33.47
2010-02-26,33.86
2010-03-01,34.03
2010-03-02,33.94
2010-03-03,34.07
2010-03-04,32.91
2010-03-05,33.76
2010-03-08,33.09
2010-03-09,33.07
2010-03-10,33.24
2010-03-11,33.49
2010-03-12,32.88
2010-03-15,32.53
2010-03-16,33.07
2010-03-17,32.77
2010-03-18,33.57
2010-03-19,34.39
2010-03-22,33.29
2010-03-23,33.14
2010-03-24,32.72
2010-03-25,33.13
2010-03-26,32.64
2010-03-29,32.83
2010-03-30,33.06
2010-03-31,32.67
2010-04-01,32.98
2010-04-05,33.13
2010-04-06,33.41
2010-04-07,32.93
2010-04-08,32.63
2010-04-09,32.26
2010-04-12,32.24
2010-04-13,32.15
2010-04-14,31.04
2010-04-15,30.62
2010-04-16,30.74
2010-04-19,31.23
2010-04-20,30.97
2010-04-21,30.23
2010-04-22,30.47
2010-04-23,30.96
2010-04-26,29.84
2010-04-27,29.78
2010-04-28,30.45
2010-04-29,31.31
2010-04-30,30.3
2010-05-03,30.27
2010-05-04,29.49
2010-05-05,29.97
2010-05-06,29.2
2010-05-07,29.06
2010-05-10,29.86
2010-05-11,29.84
2010-05-12,30.33
2010-05-13,30.19
2010-05-14,30.41
2010-05-17,30.44
2010-05-18,30.15
2010-05-19,29.99
2010-05-20,28.96
2010-05-21,28.68
2010-05-24,28.84
2010-05-25,28.85
2010-05-26,28.78
2010-05-27,29.31
2010-05-28,29.05
2010-06-01,28.98
2010-06-02,29.93
2010-06-03,30.46
2010-06-04,30.35
2010-06-07,30.48
2010-06-08,30.9
2010-06-09,30.53
2010-06-10,30.72
2010-06-11,30.67
2010-06-14,30.56
2010-06-15,31.17
2010-06-16,31.4
2010-06-17,31.49
2010-06-18,31.34
2010-06-21,31.16
2010-06-22,30.63
2010-06-23,30.21
2010-06-24,29.77
2010-06-25,29.89
2010-06-28,29.16
2010-06-29,28.65
2010-06-30,28.38
2010-07-01,27.86
2010-07-02,28.27
2010-07-06,28.88
2010-07-07,29.2
2010-07-08,29.69
2010-07-09,29.98
2010-07-12,30.06
2010-07-13,30.13
2010-07-14,30.34
2010-07-15,30.86
2010-07-16,30.34
2010-07-19,30.83
2010-07-20,30.83
2010-07-21,30.7
2010-07-22,30.99
2010-07-23,30.93
2010-07-26,31.45
2010-07-27,30.77
2010-07-28,30.31
2010-07-29,30.42
2010-07-30,30.46
2010-08-02,31.44
2010-08-03,32.42
2010-08-04,32.92
2010-08-05,33.42
2010-08-06,33.44
2010-08-09,33.48
2010-08-10,33.33
2010-08-11,31.99
2010-08-12,32.12
2010-08-13,32.04
2010-08-16,31.91
2010-08-17,32.35
2010-08-18,32.52
2010-08-19,31.8
2010-08-20,31.58
2010-08-23,31.5
2010-08-24,31.04
2010-08-25,31.96
2010-08-26,31.88
2010-08-27,32.38
2010-08-30,31.88
2010-08-31,31.72
2010-09-01,32.6
2010-09-02,32.88
2010-09-03,33.9001
2010-09-07,33.79
2010-09-08,33.85
2010-09-09,34.03
2010-09-10,34.51
2010-09-13,34.73
2010-09-14,34.61
2010-09-15,34.28
2010-09-16,34.25
2010-09-17,34.14
2010-09-20,34.93
2010-09-21,35.26
2010-09-22,35.68
2010-09-23,35.5
2010-09-24,35.71
2010-09-27,35.37
2010-09-28,35.04
2010-09-29,35.2
2010-09-30,35.11
2010-10-01,35.41
2010-10-04,34.54
2010-10-05,35.06
2010-10-06,33.96
2010-10-07,34.32
2010-10-08,34.34
2010-10-11,34.65
2010-10-12,35.02
2010-10-13,35.28
2010-10-14,35.8
2010-10-15,35.99
2010-10-18,36.24
2010-10-19,35.31
2010-10-20,36.74
2010-10-21,36.47
2010-10-22,37.26
2010-10-25,37.56
2010-10-26,37.57
2010-10-27,35.94
2010-10-28,36.25
2010-10-29,36.02
2010-11-01,36.12
2010-11-02,37.0101
2010-11-03,36.66
2010-11-04,36.82
2010-11-05,36.8701
2010-11-08,37.1
2010-11-09,37.01
2010-11-10,37.15
2010-11-11,37.5
2010-11-12,36.68
2010-11-15,35.44
2010-11-16,34.99
2010-11-17,35.32
2010-11-18,35.62
2010-11-19,35.99
2010-11-22,36.45
2010-11-23,36.04
2010-11-24,36.18
2010-11-26,35.88
2010-11-29,36.62
2010-11-30,36.52
2010-12-01,37.66
2010-12-02,38.05
2010-12-03,37.8
2010-12-06,37.3
2010-12-07,36.8
2010-12-08,36.82
2010-12-09,36.63
2010-12-10,36.65
2010-12-13,36.89
2010-12-14,36.49
2010-12-15,35.46
2010-12-16,35.63
2010-12-17,35.11
2010-12-20,35.17
2010-12-21,35.34
2010-12-22,35.83
2010-12-23,35.78
2010-12-27,35.55
2010-12-28,35.74
2010-12-29,35.92
2010-12-30,35.94
2010-12-31,36.12
2011-01-03,37.11
2011-01-04,37.48
2011-01-05,37.59
2011-01-06,38.36
2011-01-07,38.46
2011-01-10,38.45
2011-01-11,39.1
2011-01-12,38.86
2011-01-13,39.59
2011-01-14,40.74
2011-01-18,40.9
2011-01-19,40.57
2011-01-20,40.31
2011-01-21,40.42
2011-01-24,39.82
2011-01-25,40.62
2011-01-26,40.25
2011-01-27,42.28
2011-01-28,40.928000000000004
2011-01-31,41.06
2011-02-01,42.05
2011-02-02,41.94
2011-02-03,43.05
2011-02-04,42.47
2011-02-07,41.82
2011-02-08,41.97
2011-02-09,42.07
2011-02-10,42.43
2011-02-11,42.38
2011-02-14,42.45
2011-02-15,42.04
2011-02-16,42.48
2011-02-17,42.56
2011-02-18,42.86
2011-02-22,42.96
2011-02-23,42.9
2011-02-24,42.73
2011-02-25,42.55
2011-02-28,42.59
2011-03-01,42.43
2011-03-02,43.55
2011-03-03,44.78
2011-03-04,44.46
2011-03-07,43.59
2011-03-08,43.84
2011-03-09,44.47
2011-03-10,43.79
2011-03-11,43.55
2011-03-14,43.15
2011-03-15,42.79
2011-03-16,41.8536
2011-03-17,42.28
2011-03-18,42.55
2011-03-21,43.19
2011-03-22,42.74
2011-03-23,42.74
2011-03-24,43.81
2011-03-25,43.76
2011-03-28,43.89
2011-03-29,44.48
2011-03-30,45.38
2011-03-31,45.2
2011-04-01,45.62
2011-04-04,45.6
2011-04-05,45.09
2011-04-06,44.97
2011-04-07,44.42
2011-04-08,44.36
2011-04-11,44.31
2011-04-12,44.79
2011-04-13,44.34
2011-04-14,44.85
2011-04-15,44.99
2011-04-18,43.56
2011-04-19,43.95
2011-04-20,44.24
2011-04-21,47.83
2011-04-25,47.73
2011-04-26,47.36
2011-04-27,48.21
2011-04-28,49.09
2011-04-29,49.25
2011-05-02,49.87
2011-05-03,49.69
2011-05-04,49.58
2011-05-05,49.59
2011-05-06,50.11
2011-05-09,50.46
2011-05-10,50.53
2011-05-11,50.02
2011-05-12,50.1
2011-05-13,49.96
2011-05-16,50.19
2011-05-17,50.0
2011-05-18,50.6
2011-05-19,50.55
2011-05-20,49.75
2011-05-23,49.19
2011-05-24,47.97
2011-05-25,47.87
2011-05-26,47.74
2011-05-27,48.28
2011-05-31,48.92
2011-06-01,48.38
2011-06-02,49.37
2011-06-03,48.86
2011-06-06,48.15
2011-06-07,47.98
2011-06-08,48.2
2011-06-09,50.61
2011-06-10,49.41
2011-06-13,49.13
2011-06-14,49.61
2011-06-15,49.35
2011-06-16,49.67
2011-06-17,49.95
2011-06-20,51.27
2011-06-21,52.2
2011-06-22,51.8
2011-06-23,51.17
2011-06-24,50.46
2011-06-27,51.04
2011-06-28,51.78
2011-06-29,51.55
2011-06-30,51.6
2011-07-01,53.12
2011-07-05,52.86
2011-07-06,53.12
2011-07-07,52.63
2011-07-08,52.09
2011-07-11,50.92
2011-07-12,51.41
2011-07-13,51.74
2011-07-14,52.28
2011-07-15,51.98
2011-07-18,51.98
2011-07-19,51.47
2011-07-20,51.5
2011-07-21,52.18
2011-07-22,52.77
2011-07-25,51.62
2011-07-26,51.26
2011-07-27,49.88
2011-07-28,49.93
2011-07-29,49.64
2011-08-01,48.01
2011-08-02,46.95
2011-08-03,47.19
2011-08-04,45.09
2011-08-05,45.56
2011-08-08,41.91
2011-08-09,44.73
2011-08-10,41.8382
2011-08-11,43.88
2011-08-12,44.81
2011-08-15,45.95
2011-08-16,45.49
2011-08-17,45.53
2011-08-18,43.9
2011-08-19,43.31
2011-08-22,43.64
2011-08-23,44.85
2011-08-24,45.9
2011-08-25,45.1
2011-08-26,45.72
2011-08-29,46.78
2011-08-30,47.27
2011-08-31,47.48
2011-09-01,47.23
2011-09-02,45.75
2011-09-06,45.74
2011-09-07,47.19
2011-09-08,47.2
2011-09-09,45.54
2011-09-12,46.27
2011-09-13,47.96
2011-09-14,48.69
2011-09-15,50.55
2011-09-16,50.76
2011-09-19,49.96
2011-09-20,49.85
2011-09-21,48.0
2011-09-22,47.12
2011-09-23,47.6
2011-09-26,48.79
2011-09-27,49.5
2011-09-28,47.61
2011-09-29,46.57
2011-09-30,46.08
2011-10-03,42.91
2011-10-04,42.78
2011-10-05,44.47
2011-10-06,44.93
2011-10-07,44.88
2011-10-10,46.51
2011-10-11,46.68
2011-10-12,46.39
2011-10-13,46.52
2011-10-14,47.25
2011-10-17,46.59
2011-10-18,45.29
2011-10-19,46.44
2011-10-20,46.89
2011-10-21,47.93
2011-10-24,49.04
2011-10-25,48.78
2011-10-26,48.75
2011-10-27,49.22
2011-10-28,48.85
2011-10-31,47.99
2011-11-01,46.21
2011-11-02,46.37
2011-11-03,46.18
2011-11-04,45.58
2011-11-07,45.17
2011-11-08,46.18
2011-11-09,45.55
2011-11-10,46.14
2011-11-11,47.15
2011-11-14,46.95
2011-11-15,46.53
2011-11-16,44.91
2011-11-17,44.53
2011-11-18,44.57
2011-11-21,44.45
2011-11-22,44.44
2011-11-23,43.59
2011-11-25,43.67
2011-11-28,45.05
2011-11-29,45.9
2011-11-30,48.74
2011-12-01,48.53
2011-12-02,48.24
2011-12-05,48.27
2011-12-06,48.3
2011-12-07,49.36
2011-12-08,48.15
2011-12-09,48.89
2011-12-12,48.21
2011-12-13,47.92
2011-12-14,47.77
2011-12-15,48.531000000000006
2011-12-16,48.91
2011-12-19,48.99
2011-12-20,49.83
2011-12-21,50.0
2011-12-22,50.725
2011-12-23,51.32
2011-12-27,51.36
2011-12-28,50.75
2011-12-29,51.15
2011-12-30,50.68
2012-01-03,51.47
2012-01-04,52.21
2012-01-05,52.6
2012-01-06,52.82
2012-01-09,52.71
2012-01-10,52.62
2012-01-11,53.01
2012-01-12,52.86
2012-01-13,52.7
2012-01-17,53.56
2012-01-18,53.95
2012-01-19,52.31
2012-01-20,52.24
2012-01-23,52.44
2012-01-24,51.32
2012-01-25,51.57
2012-01-26,50.34
2012-01-27,51.04
2012-01-30,51.08
2012-01-31,51.79
2012-02-01,53.27
2012-02-02,52.55
2012-02-03,51.29
2012-02-06,51.28
2012-02-07,52.03
2012-02-08,52.15
2012-02-09,53.05
2012-02-10,53.31
2012-02-13,53.86
2012-02-14,54.47
2012-02-15,54.64
2012-02-16,54.79
2012-02-17,54.66
2012-02-21,55.33
2012-02-22,55.17
2012-02-23,54.951
2012-02-24,55.66
2012-02-27,55.74
2012-02-28,55.84
2012-02-29,55.75
2012-03-01,55.99
2012-03-02,55.84
2012-03-05,55.05
2012-03-06,54.46
2012-03-07,54.4
2012-03-08,55.61
2012-03-09,55.8
2012-03-12,55.04
2012-03-13,55.34
2012-03-14,55.79
2012-03-15,55.68
2012-03-16,55.6
2012-03-19,56.15
2012-03-20,54.78
2012-03-21,53.9825
2012-03-22,53.87
2012-03-23,53.66
2012-03-26,55.1
2012-03-27,55.44
2012-03-28,55.43
2012-03-29,58.1
2012-03-30,58.96
2012-04-02,59.12
2012-04-03,59.39
2012-04-04,59.07
2012-04-05,59.02
2012-04-09,58.148999999999994
2012-04-10,57.53
2012-04-11,58.02
2012-04-12,58.48
2012-04-13,58.06
2012-04-16,57.36
2012-04-17,58.09
2012-04-18,57.34
2012-04-19,58.71
2012-04-20,59.51
2012-04-23,59.19
2012-04-24,58.75
2012-04-25,58.88
2012-04-26,58.41
2012-04-27,57.92
2012-04-30,56.12
2012-05-01,57.16
2012-05-02,56.65
2012-05-03,55.72
2012-05-04,54.72
2012-05-07,55.24
2012-05-08,55.84
2012-05-09,55.2288
2012-05-10,55.29
2012-05-11,55.21
2012-05-14,55.17
2012-05-15,54.95
2012-05-16,54.92
2012-05-17,54.89
2012-05-18,54.0
2012-05-21,55.555
2012-05-22,55.74
2012-05-23,55.37
2012-05-24,56.23
2012-05-25,56.11
2012-05-29,56.17
2012-05-30,56.17
2012-05-31,55.77
2012-06-01,55.03
2012-06-04,54.91
2012-06-05,56.05
2012-06-06,57.68
2012-06-07,57.46
2012-06-08,58.0
2012-06-11,57.46
2012-06-12,57.85
2012-06-13,58.0
2012-06-14,59.24
2012-06-15,58.89
2012-06-18,59.4251
2012-06-19,60.24
2012-06-20,59.59
2012-06-21,58.34
2012-06-22,59.09
2012-06-25,57.69
2012-06-26,58.79
2012-06-27,59.29
2012-06-28,59.6
2012-06-29,58.5
2012-07-02,56.2301
2012-07-03,55.0
2012-07-05,55.83
2012-07-06,55.83
2012-07-09,56.1
2012-07-10,55.69
2012-07-11,56.04
2012-07-12,54.58
2012-07-13,55.22
2012-07-16,55.17
2012-07-17,55.89
2012-07-18,56.37
2012-07-19,55.01
2012-07-20,55.42
2012-07-23,54.51
2012-07-24,54.88
2012-07-25,52.48
2012-07-26,52.01
2012-07-27,53.35
2012-07-30,53.255
2012-07-31,51.08
2012-08-01,51.2
2012-08-02,51.11
2012-08-03,51.62
2012-08-06,51.02
2012-08-07,52.54
2012-08-08,52.75
2012-08-09,52.0
2012-08-10,51.88
2012-08-13,51.92
2012-08-14,51.96
2012-08-15,52.83
2012-08-16,53.39
2012-08-17,53.12
2012-08-20,53.18
2012-08-21,53.42
2012-08-22,53.98
2012-08-23,53.96
2012-08-24,54.16
2012-08-27,54.6125
2012-08-28,54.33
2012-08-29,54.65
2012-08-30,54.69
2012-08-31,54.3
2012-09-04,54.58
2012-09-05,54.26
2012-09-06,54.88
2012-09-07,54.87
2012-09-10,53.76
2012-09-11,52.81
2012-09-12,52.82
2012-09-13,53.88
2012-09-14,54.23
2012-09-17,54.49
2012-09-18,55.13
2012-09-19,54.955
2012-09-20,54.945
2012-09-21,56.14
2012-09-24,55.99
2012-09-25,56.2
2012-09-26,55.79
2012-09-27,56.25
2012-09-28,55.41
2012-10-01,56.45
2012-10-02,56.81
2012-10-03,56.86
2012-10-04,57.98
2012-10-05,57.14
2012-10-08,57.6
2012-10-09,57.47
2012-10-10,57.11
2012-10-11,57.67
2012-10-12,57.08
2012-10-15,57.49
2012-10-16,56.89
2012-10-17,55.998999999999995
2012-10-18,56.02
2012-10-19,55.65
2012-10-22,56.548
2012-10-23,56.18
2012-10-24,55.93
2012-10-25,56.2
2012-10-26,55.77
2012-10-31,56.0
2012-11-01,56.96
2012-11-02,56.05
2012-11-05,55.32
2012-11-06,56.37
2012-11-07,54.24
2012-11-08,53.44
2012-11-09,52.88
2012-11-12,52.2
2012-11-13,52.2
2012-11-14,51.25
2012-11-15,51.25
2012-11-16,51.92
2012-11-19,52.89
2012-11-20,53.12
2012-11-21,53.53
2012-11-23,53.92
2012-11-26,53.55
2012-11-27,52.59
2012-11-28,52.74
2012-11-29,54.37
2012-11-30,54.4
2012-12-03,53.9
2012-12-04,53.55
2012-12-05,53.84
2012-12-06,53.65
2012-12-07,53.86
2012-12-10,54.19
2012-12-11,54.75
2012-12-12,55.24
2012-12-13,54.385
2012-12-14,54.06
2012-12-17,54.37
2012-12-18,54.95
2012-12-19,54.49
2012-12-20,55.47
2012-12-21,55.05
2012-12-24,54.85
2012-12-26,54.21
2012-12-27,54.43
2012-12-28,53.88
2012-12-31,54.24
2013-01-02,54.55
2013-01-03,52.0
2013-01-04,52.1
2013-01-07,52.085
2013-01-08,51.4
2013-01-09,52.36
2013-01-10,53.12
2013-01-11,52.83
2013-01-14,53.37
